id;sku;nazwa;kategoria;szerokość;wysokość;głębokość;średnica;jednostka;reguła;raw
276677334;1591546;"Fotel gamingowy Force 4.6 Carbon";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";64;;56;;cm;product-dims-mm;"Szerokość produktu: 640 mm; Głębokość produktu: 560 mm"
276677336;1591548;"Fotel gamingowy Force 4.6 RGB Black Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";64;;56;;cm;product-dims-mm;"Szerokość produktu: 640 mm; Głębokość produktu: 560 mm"
276677429;1421056;"Fotel AEROCOOL CROWN AeroSuede Stone Grey";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";52;;52;;cm;seat-dims;"Szerokość siedziska: 52 cm; Głębokość siedziska: 52 cm"
276677433;1421059;"FOTEL AEROCOOL ROYAL AeroSuede SLATE GREY";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";52;133;;;cm;chair-max-seat;"Wysokość (max.): 133 cm; Szerokość siedziska: 52 cm"
276677480;1433349;"Biurko gamingowe Huzaro Hero 4.8 RGB";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;;;;;NO_MATCH;""
276677509;1420990;"Mata pod fotel gamingowy TRUST GXT 715 Chair Mat";"Dom|Wyposażenie i akcesoria ";99;;120;;cm;product-dims-mm;"Szerokość produktu: 990 mm; Głębokość produktu: 1200 mm"
276677581;1421282;"Biurko gamingowe Huzaro Hero 2.5 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;75;;;cm;product-dims-mm;"Wysokość produktu: 750 mm"
276677587;1421309;"MACLEAN BIURKO ELEKTRYCZNE, STOLIK, STACJA ROBOCZA REGULACJA WYS MAX WYS 122CM M";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;;;;;NO_MATCH;""
276677591;1431208;"Biurko gamingowe Huzaro Hero 2.6 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;;;;;NO_MATCH;""
276677598;1437956;"Fotel gamingowy Huzaro Combat 6.2 Black RGB";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";75;;;;cm;product-dims-mm;"Szerokość produktu: 750 mm"
276677609;1522291;"Mata pod fotel Huzaro FloorMat 7.0";"Dom|Wyposażenie i akcesoria ";120;;120;;cm;product-dims-mm;"Szerokość produktu: 1200 mm; Głębokość produktu: 1200 mm"
276677637;1663350;"Fotel gamingowy Huzaro Force 4.7 Pink Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;;;cm;product-dims-mm;"Szerokość produktu: 670 mm"
276677640;1663361;"Biurko gamingowe Huzaro Hero 1.9 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";120;;60;;cm;product-dims-mm;"Szerokość produktu: 1200 mm; Głębokość produktu: 600 mm"
276677642;1663362;"Biurko gamingowe Huzaro Hero 1.9 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";120;;60;;cm;product-dims-mm;"Szerokość produktu: 1200 mm; Głębokość produktu: 600 mm"
276677644;1663363;"Biurko gamingowe Huzaro Hero 3.6 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";140;79;60;;cm;product-dims-mm;"Szerokość produktu: 1400 mm; Wysokość produktu: 790 mm; Głębokość produktu: 600 mm"
276677646;1663364;"Biurko gamingowe Huzaro Hero 3.6 RGB Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";140;79;60;;cm;product-dims-mm;"Szerokość produktu: 1400 mm; Wysokość produktu: 790 mm; Głębokość produktu: 600 mm"
276677648;1663365;"Biurko gamingowe Huzaro Hero 4.6 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";160;79;60;;cm;product-dims-mm;"Szerokość produktu: 1600 mm; Wysokość produktu: 790 mm; Głębokość produktu: 600 mm"
276677651;1663366;"Biurko gamingowe Huzaro Hero 4.6 RGB Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";160;79;60;;cm;product-dims-mm;"Szerokość produktu: 1600 mm; Wysokość produktu: 790 mm; Głębokość produktu: 600 mm"
